name,height,north,location,journal,notHunMt,adj,icon,src,islock
七星山,1120,25.17,北北基,當天來回,1,qixingshanadj,qixingshanicon,qixingshan,
東眼山,1212,24.82,桃竹苗,當天來回,1,dongyanshanadj,dongyanshanicon,dongyanshan,
大劍山,3043,24.34,中彰投,三天以上,0,dajianshanadj,dajianshanicon,dajianshan,
光頭山,3059,23.93,雲嘉南,三天以上,0,guangtoushanadj,guangtoushanicon,guangtoushan,
向陽山,3600,23.28,高屏,"兩天一夜,三天以上",0,xiangyangshanadj,xiangyangshanicon,xiangyangshan,
鵲子山,679,24.85,宜花東,當天來回,1,quezishanadj,quezishanicon,quezishan,
螺山,70,26.22,澎金馬,當天來回,1,luoshanadj,luoshanicon,luoshan,
大武崙山,231,25.15,北北基,當天來回,1,dawulunshanadj,dawulunshanicon,dawulunshan,
觀音山,616,25.13,北北基,當天來回,1,guanyinshanadj,guanyinshanicon,guanyinshan,
紅淡山,208,25.11,北北基,當天來回,1,hongdanshanadj,hongdanshanicon,hongdanshan,
基隆山,587,25.11,北北基,當天來回,1,jilongshanadj,jilongshanicon,jilongshan,
無耳茶壺山,580,25.1,北北基,當天來回,1,wuerchahushanadj,wuerchahushanicon,wuerchahushan,
象山,183,25.1,北北基,當天來回,1,xiangshanadj,xiangshanicon,xiangshan,
天上山,430,24.94,北北基,當天來回,1,tianshangshanadj,tianshangshanicon,tianshangshan,
飛鳳山,423,24.76,桃竹苗,當天來回,1,feifengshanadj,feifengshanicon,feifengshan,
拉拉山,2031,24.73,桃竹苗,當天來回,1,lalashanadj,lalashanicon,lalashan,
加里山,2220,24.51,桃竹苗,"當天來回,兩天一夜",1,jialishanadj,jialishanicon,jialishan,
聖母登山（抹茶山）,1000,24.49,宜花東,當天來回,1,shengmudengshanadj,shengmudengshanicon,shengmudengshan,
大霸尖山,3490,24.4577,桃竹苗,"兩天一夜,三天以上",0,dabajianshanadj,dabajianshanicon,dabajianshan,
太武山,253,24.457,澎金馬,當天來回,1,taiwushanadj,taiwushanicon,taiwushan,
桃山,3324,24.43,桃竹苗,"當天來回,兩天一夜,三天以上",0,taoshanadj,taoshanicon,taoshan,
雪山,3884,24.3834,桃竹苗,"兩天一夜,三天以上",0,xueshanadj,xueshanicon,xueshan,
火石山,3308,24.3819,桃竹苗,三天以上,0,huoshishanadj,huoshishanicon,huoshishan,
火炎山,602,24.37,桃竹苗,當天來回,1,huoyanshanadj,huoyanshanicon,huoyanshan,
太平山,2000,24.3,宜花東,當天來回,1,taipingshanadj,taipingshanicon,taipingshan,
鈴鳴山,3272,24.24,中彰投,"兩天一夜,三天以上",1,lingmingshanadj,lingmingshanicon,lingmingshan,
雲台山,248,24.23,澎金馬,當天來回,1,yuntaishanadj,yuntaishanicon,yuntaishan,
稍來山,2307,24.23,中彰投,當天來回,1,shaolaishanadj,shaolaishanicon,shaolaishan,
鳶嘴山,2180,24.14,中彰投,當天來回,1,yuanzuishanadj,yuanzuishanicon,yuanzuishan,
初音山,906,23.97,宜花東,當天來回,1,chuyinshanadj,chuyinshanicon,chuyinshan,
鯉魚山,601,23.91,宜花東,當天來回,1,liyushanadj,liyushanicon,liyushan,
橫山,443,23.889,中彰投,當天來回,1,hengshanadj,hengshanicon,hengshan,
貓囒山,1016,23.881,中彰投,當天來回,1,maolanshanadj,maolanshanicon,maolanshan,
月眉山,614,23.82,宜花東,當天來回,1,yuemeishanadj,yuemeishanicon,yuemeishan,
奎壁山,34,23.5979,澎金馬,當天來回,1,kuibishanadj,kuibishanicon,kuibishan,
雲嘉大尖山,1299,23.59,雲嘉南,當天來回,1,yunjiadajianshanadj,yunjiadajianshanicon,yunjiadajianshan,
阿里山 (大塔山),2663,23.53,雲嘉南,當天來回,1,alishanadj,alishanicon,alishan,
奮起湖大凍山,1976,23.498,雲嘉南,當天來回,1,fenqihudadongshanadj,fenqihudadongshanicon,fenqihudadongshan,
秀姑巒山,3825,23.4968,雲嘉南,"兩天一夜,三天以上",0,xiuguluanshanadj,xiuguluanshanicon,xiuguluanshan,
玉山,3952,23.47,雲嘉南,"當天來回,兩天一夜,三天以上",0,yushanadj,yushanicon,yushan,
鹿山,2981,23.45,中彰投,"兩天一夜,三天以上",0,lushanadj,lushanicon,lushan,
崁頭山,841,23.26,雲嘉南,當天來回,1,kantoushanadj,kantoushanicon,kantoushan,
六十石山,964,23.21,宜花東,當天來回,1,liushishishanadj,liushishishanicon,liushishishan,
竹子尖山,1110,23.17,雲嘉南,當天來回,1,zhuzijianshanadj,zhuzijianshanicon,zhuzijianshan,
刣牛湖山,799,23.4,雲嘉南,當天來回,1,zhongniuhushanadj,zhongniuhushanicon,zhongniuhushan,
18羅漢山,200,23,高屏,當天來回,1,luohanshanadj,luohanshanicon,luohanshan,
都蘭山,1190,22.89,宜花東,當天來回,1,doulanshanadj,doulanshanicon,doulanshan,
火燒山,280,22.65,宜花東,當天來回,1,huoshaoshanadj,huoshaoshanicon,huoshaoshan,
壽山,356,22.64315,高屏,當天來回,1,shoushanadj,shoushanicon,shoushan,
太麻里山,1340,22.6431,宜花東,當天來回,1,taimalishanadj,taimalishanicon,taimalishan,
笠頂山,659,22.39,高屏,當天來回,1,lidingshanadj,lidingshanicon,lidingshan,
紅頭山,552,22.5,宜花東,當天來回,1,hongtoushanadj,hongtoushanicon,hongtoushan,
